customer_id,Segment_D4,cluster,cluster_name,recommended_action,Recency,Frequency,Monetary
C0354,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,38,9,18758
C0059,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,15,145357
C0304,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,21,5,44674
C1448,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,208,1,5953
C0844,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,34,5,42783
C1262,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,128,0,41997
C1431,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,243,1,18795
C1210,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",87,3,37963
C0368,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,39,6,21192
C1358,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,364,1,12295
C1198,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",105,1,35784
C1305,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",66,4,9676
C1233,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,56,4,16434
C0705,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",0,7,21597
C0234,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",20,4,30507
C0619,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,8,91665
C0197,G6 At Risk,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,51,11,34675
C1260,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",104,2,9984
C0082,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,17,33411
C1405,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",147,0,23239
C0598,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,44,10,39638
C1157,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,59,4,7108
C0112,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,9,14,68933
C1277,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,4,17023
C0781,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,30,7,13317
C0984,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",58,1,17867
C0800,G4 New/Promising,3,穩定中段,推次高規則 + 定期 Banner 維繫,4,3,17352
C1266,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",88,3,16533
C1151,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",46,0,30569
C0825,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",43,6,27026
C0383,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,45,10,53618
C0539,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,42,7,20386
C1494,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,151,0,3863
C1113,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,104,2,8102
C0325,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",20,6,9123
C0362,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,12,19866
C1488,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,286,1,12777
C1030,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,61,2,19614
C0708,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,6,8,36393
C0333,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,34,5,78670
C0430,G2 Loyal,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",28,11,28988
C1243,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,114,4,27313
C0426,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,30,7,40144
C0629,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,37,9,26990
C1112,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",119,4,18780
C0678,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",9,6,23704
C0694,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,8,61958
C0758,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,27,6,32719
C0255,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,20,7,31269
C1095,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,102,2,8513
C0917,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",55,2,10240
C1186,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",76,3,15668
C0669,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,11,16998
C0842,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,46,10,128733
C0807,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,25,9,50663
C1457,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",119,0,16739
C0087,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,0,10,41964
C1422,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,332,1,10447
C0266,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,24,7,21147
C0288,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,11,44706
C1484,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",127,0,7597
C0893,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,33,10,10093
C1496,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,321,0,2818
C0979,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,95,2,32584
C0535,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,7,6,23421
C1001,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",126,3,7307
C0222,G3 Big Spenders,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",19,4,33996
C0114,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,6,22,51324
C0673,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,17,6,19351
C0584,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,9,32116
C0175,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",34,7,16702
C0536,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,21,9,20825
C1079,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",89,2,28034
C1177,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",81,2,15458
C1107,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",110,0,20084
C0983,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",46,2,28769
C0286,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,34,9,18402
C0868,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,27,6,32274
C0375,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,30,10,24658
C1197,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",47,1,8344
C0032,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,12,72863
C0552,G3 Big Spenders,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,4,81471
C0211,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,43,9,68638
C1047,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,45,3,19892
C0924,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",65,2,17368
C0810,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,12,16638
C0618,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,31,5,17434
C0933,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",106,5,5530
C0620,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,11,29774
C0189,G2 Loyal,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",6,10,22601
C0711,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,39,6,61150
C0937,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,1,17345
C1169,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",119,1,9070
C1220,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,73,3,57918
C1098,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",75,0,39095
C0902,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,79,1,29735
C0084,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,3,11,50068
C0702,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",0,6,18114
C0049,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,24,44718
C1284,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",87,2,4486
C0156,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,39,11,44102
C1152,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,105,1,13285
C1142,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",80,2,9734
C0975,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,79,2,21337
C1058,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",56,1,15855
C0808,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,30,10,21081
C1230,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,110,4,6693
C1481,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,245,0,3262
C1437,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",136,3,7517
C0180,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,31,11,52209
C1356,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",112,0,14768
C1247,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,66,0,25014
C1041,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,1,13970
C0950,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,55,1,12630
C0817,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,5,51006
C0364,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,11,45053
C1178,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",97,3,19317
C1199,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,117,3,62702
C0347,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,35,11,41081
C1011,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",89,2,29402
C0615,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,44,6,23650
C0966,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,89,1,17995
C1274,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,55,0,21402
C0590,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",2,6,14117
C1289,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,88,1,11656
C0632,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,45,8,35737
C0244,G2 Loyal,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",44,9,23929
C1375,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,293,2,7812
C1452,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,213,0,6867
C0765,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,29,7,22218
C0988,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",99,2,16402
C0412,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,10,46275
C1421,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,340,0,4657
C1226,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,79,1,64065
C0309,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,22,10,14104
C0882,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,8,39585
C0399,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,9,30323
C0371,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",10,12,13041
C0055,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,29,16,32741
C1339,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,100,3,12590
C1183,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,104,2,8972
C0313,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,12,81535
C0922,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",62,3,2872
C0110,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,8,59899
C0719,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,7,67651
C0692,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",22,12,10882
C0101,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,22,50923
C1126,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",50,3,18255
C0670,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,16,9,19578
C1376,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,240,0,9955
C0267,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,34,6,60309
C0679,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,22,7,27490
C0297,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,11,9,19214
C0530,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",17,5,17283
C0945,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,60,1,16608
C1014,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,71,3,30259
C0951,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",86,0,16651
C0378,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,46,8,79988
C0287,G3 Big Spenders,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,4,72009
C1439,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,289,0,3943
C0731,G3 Big Spenders,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",17,4,48707
C0127,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,14,80498
C0328,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,42,9,58173
C0293,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,20,7,26652
C0549,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",11,8,18420
C0728,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,29,8,54723
C0909,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",80,1,16629
C0356,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",46,7,54394
C0171,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,9,34057
C0967,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",78,2,33143
C1134,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",76,1,16423
C0652,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,29,5,30451
C0210,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,9,36964
C1398,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,172,0,8848
C0141,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,8,51687
C1084,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,76,0,16926
C0991,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",82,4,8888
C0651,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,31,7,12687
C1189,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,91,3,6251
C1499,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,309,1,4320
C0486,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,23,8,10432
C0528,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,7,69094
C0200,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,10,9,10433
C0890,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,5,51710
C0845,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,10,89699
C1069,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,116,2,38591
C1206,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,58,1,53579
C1055,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",44,1,16654
C0011,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,12,17,57342
C0148,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,18,53843
C0722,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,15,5,42509
C0283,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,41,9,41088
C0299,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,7,37344
C0614,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,6,103018
C0292,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,7,6,40478
C0650,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,12,18042
C0599,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,9,33001
C1044,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",53,2,21965
C0553,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,8,27500
C1299,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,61,4,9861
C0130,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,6,21,87504
C1062,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,55,1,6223
C0332,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,7,92510
C0324,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,8,38298
C0681,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",50,11,18338
C0479,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",23,7,75326
C0562,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,7,40886
C0136,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,5,16,133294
C0507,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,41,9,30403
C0514,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,35,10,43655
C1372,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,341,0,9009
C0436,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,10,29749
C0874,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,10,53097
C1463,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",121,1,5165
C0753,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,9,34225
C0666,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,24,8,26117
C0159,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",16,10,17805
C1254,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",52,1,40643
C1293,G6 At Risk,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",63,5,38906
C0576,G2 Loyal,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",12,10,23615
C0353,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,8,59468
C0938,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",43,1,12755
C1296,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,86,0,13643
C1393,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",89,1,6164
C1301,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",95,2,11319
C0592,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,19,7,14622
C0665,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,32,6,18124
C0196,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,32,10,33692
C1241,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,120,2,6081
C1049,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",94,3,5529
C0439,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",34,10,18589
C1436,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,177,1,7796
C0644,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,35,10,26644
C0097,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,5,10,60539
C0585,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,26,6,66577
C1215,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,83,2,15537
C0157,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,34,3,40956
C0420,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,13,80729
C0411,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,3,9,32298
C1223,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,62,1,27229
C0478,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,11,44500
C0515,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,20,6,16663
C1286,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,106,1,36463
C1454,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,289,0,13308
C1119,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,72,1,16306
C0448,G6 At Risk,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,48,10,31581
C0179,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,44,7,37737
C0391,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,16,7,38514
C1290,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",73,1,15075
C1308,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,112,2,15442
C1367,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,219,0,7861
C1048,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",38,3,20248
C1143,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,82,3,41612
C0635,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,34,8,31620
C0866,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,16,5,140820
C0788,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,9,30839
C0745,G6 At Risk,3,穩定中段,推次高規則 + 定期 Banner 維繫,47,6,29980
C0860,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,10,38492
C0295,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,35,10,22603
C0545,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,7,48748
C1363,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,286,0,8269
C0089,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,18,104800
C1032,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",118,0,31596
C1380,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,221,0,12518
C0577,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",22,5,18409
C0907,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,85,3,18731
C1388,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,252,0,3213
C1092,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",61,0,20567
C0944,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,92,1,11558
C0291,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,8,69091
C1419,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,203,1,8442
